discount_band,orders,avg_discount_pct,avg_unit_price,avg_quantity,avg_gross_order,avg_net_order,net_change_vs_0pct,expected_change_from_discount_alone,gross_change_vs_0pct,gross_vs_0pct_p_value
0%,2235,0.0,803.0128,2.4864,1992.3354,1992.3354,0.0,-0.0,0.0,
1-10%,1409,8.0483,781.3729,2.5323,1999.356,1838.8867,-7.702,-8.0483,0.3524,0.8972
11-20%,1435,17.0348,782.0332,2.5017,1958.2582,1623.6467,-18.5054,-17.0348,-1.7104,0.5246
21-30%,537,27.7095,778.7131,2.4432,1913.8116,1382.4492,-30.6116,-27.7095,-3.9413,0.2872
